;word;count;category;subcategory
2437;gesellschaft;3;;
2447;längere;3;;
2464;häuser;3;;
2470;gutes;3;;
2525;direkt;3;;
2529;gleich;3;;
2555;zugunsten;3;;
2569;definition;3;;
2601;erhält;3;;
2609;htr;3;;
2610;tektonikarena;3;;
2659;geprägt;3;;
2677;bernina;3;;
2678;angebot;3;;
2699;mitte;3;;
2700;hochalpiner;3;;
2701;ehemaliges;3;;
2702;gedanken;3;;
2703;konfrontiert;3;;
2704;auseinander;3;;
2705;inwieweit;3;;
2728;landschaftlich;3;;
2736;region;3;;
2771;ermöglicht;3;;
2833;genügend;3;;
2834;politisches;3;;
2835;rückgrat;3;;
2836;resort;3;;
2837;einfügen;3;;
2838;fremd;3;;
2839;ungemein;3;;
2840;gepflügt;3;;
2841;verstand;3;;
2845;oft;3;;
2876;albulatal;3;;
2918;gegend;3;;
2955;parallel;3;;
2957;jeweils;3;;
2961;begonnen;3;;
2982;d;3;;
2986;en;3;;
3005;verhältnis;3;;
3013;bringt;3;;
3019;ästhetik;3;;
3029;zielsetzungen;3;;
3031;bauwerke;3;;
3034;ebenso;3;;
3134;modernen;3;;
3185;eröffnet;3;;
3236;tätigkeit;3;;
3256;andreas;3;;
3284;gefunden;3;;
3340;folgenden;3;;
3430;erfolgte;3;;
3438;fällt;3;;
3528;veränderungen;3;;
3623;locarno;3;;
3624;verkehrsbüro;3;;
3631;schwimmen;3;;
3633;fischen;3;;
3645;prospekte;3;;
3666;wandergebiet;3;;
3747;lange;3;;
3763;wanderweg;3;;
3884;deutlich;3;;
3924;hanspeter;3;;
3956;bereit;3;;
3996;gesamte;3;;
4015;regierung;3;;
4020;gen;3;;
4095;tradition;3;;
4163;richtplan;3;;
4218;positiv;3;;
4534;matchworld;3;;
4536;sa;3;;
4537;lens;3;;
4633;hinterrheinbrücke;3;;
4667;martin;3;;
4668;linsi;3;;
0;eindrücke;2;;
25;landschaftliche;2;;
27;vermag;2;;
28;weile;2;;
30;veränderung;2;;
32;rebbergen;2;;
48;geschätzt;2;;
61;di;2;;
67;grüm;2;;
71;anna;2;;
83;idee;2;;
102;sitten;2;;
104;teilweise;2;;
107;hofft;2;;
114;sitzung;2;;
117;quebec;2;;
125;höchstgelegene;2;;
136;meer;2;;
139;trassee;2;;
140;albulalinie;2;;
142;berninalinie;2;;
149;bahnlinien;2;;
152;unterschieden;2;;
154;kernzone;2;;
156;umfasst;2;;
175;gegenseitig;2;;
179;ortsbilder;2;;
180;wirken;2;;
182;praktische;2;;
186;band;2;;
192;kleinen;2;;
199;georg;2;;
201;michele;2;;
202;arnaboldi;2;;
210;auswahl;2;;
212;kriterien;2;;
213;umgang;2;;
240;grösste;2;;
241;kerze;2;;
245;panoramalift;2;;
247;metern;2;;
249;warmes;2;;
250;licht;2;;
265;genf;2;;
267;freitag;2;;
270;gewicht;2;;
283;anstrengung;2;;
297;kommentar;2;;
298;naturpärke;2;;
302;regionale;2;;
307;gedacht;2;;
317;fall;2;;
327;wertvolle;2;;
330;schützen;2;;
334;boden;2;;
340;siedlung;2;;
349;zes;2;;
356;verfasst;2;;
360;erschlossen;2;;
364;viadukt;2;;
369;albulastrecke;2;;
370;eisenbahningenieur;2;;
371;friedrich;2;;
372;hennings;2;;
373;ansicht;2;;
375;pionierhaft;2;;
378;abgehandelt;2;;
380;galerien;2;;
384;bewusst;2;;
396;rückweg;2;;
398;wetter;2;;
403;ca;2;;
407;grundlage;2;;
408;erfolg;2;;
416;luft;2;;
419;architektonische;2;;
420;ereignisse;2;;
427;museale;2;;
428;kulturlandschaften;2;;
431;soglio;2;;
432;guarda;2;;
433;urs;2;;
443;historischer;2;;
445;nutzungsgeschichte;2;;
446;mittelalter;2;;
447;neuzeit;2;;
448;ergebnis;2;;
455;h;2;;
461;bemalt;2;;
468;türe;2;;
481;geflochtener;2;;
487;g;2;;
508;rhàtische;2;;
522;montreux;2;;
550;musik;2;;
561;bergün;2;;
562;preda;2;;
574;kritik;2;;
578;kraftwerken;2;;
588;technisches;2;;
595;zeitschrift;2;;
598;kulturellen;2;;
601;meisterwerk;2;;
630;setzte;2;;
634;arbeitsgruppe;2;;
636;verfahren;2;;
638;benötigten;2;;
639;hilfsmittel;2;;
640;kombiniert;2;;
641;erstellung;2;;
642;leitungskatasters;2;;
643;evaluieren;2;;
644;umfangreichen;2;;
645;abklärungen;2;;
646;vorarbeiten;2;;
647;beschloss;2;;
659;zulasten;2;;
664;verabschiedet;2;;
666;lis;2;;
695;ebene;2;;
699;abgeschlossen;2;;
703;vollständig;2;;
705;adresse;2;;
707;gesamtfläche;2;;
720;bieler;2;;
725;holzbrückenbau;2;;
736;einbettung;2;;
745;abgebrochen;2;;
756;unterhalt;2;;
758;baukultur;2;;
762;halbe;2;;
763;zugstunde;2;;
768;bellinzona;2;;
769;wechselt;2;;
772;viamala;2;;
783;wilde;2;;
786;überquert;2;;
804;rainer;2;;
805;richard;2;;
809;einklang;2;;
814;abderhalden;2;;
815;walter;2;;
821;hrsg;2;;
838;lust;2;;
862;via;2;;
864;suisse;2;;
865;denkmäler;2;;
879;marketing;2;;
884;vertreter;2;;
887;cazis;2;;
894;geschäftsführer;2;;
898;josef;2;;
904;monica;2;;
905;oeconformica;2;;
906;beverinstrasse;2;;
908;mario;2;;
909;lippuner;2;;
910;ruvria;2;;
915;rohanstrasse;2;;
928;welten;2;;
929;sutter;2;;
932;daneben;2;;
946;flora;2;;
956;gross;2;;
964;knapp;2;;
966;km;2;;
977;besonderes;2;;
978;erlebnis;2;;
979;offenen;2;;
985;attraktiven;2;;
988;verbesserung;2;;
990;thomas;2;;
1001;ökologisch;2;;
1004;inn;2;;
1011;fluss;2;;
1023;landguart;2;;
1026;finanzierung;2;;
1028;celerina;2;;
1031;bund;2;;
1053;wirklich;2;;
1055;cuneo;2;;
1056;hotelbezug;2;;
1058;abendessen;2;;
1060;samstag;2;;
1061;april;2;;
1063;legendäre;2;;
1065;bahnstrecken;2;;
1066;europa;2;;
1069;malerische;2;;
1070;spektakuläre;2;;
1072;viadukte;2;;
1073;unzählige;2;;
1074;begeistern;2;;
1075;timiglia;2;;
1076;mittelmeerküste;2;;
1078;azurblauen;2;;
1079;küste;2;;
1081;ausblicken;2;;
1084;museen;2;;
1086;musee;2;;
1087;message;2;;
1088;biblique;2;;
1089;mittagszeit;2;;
1090;abfahrt;2;;
1091;chemin;2;;
1093;provence;2;;
1095;grossartige;2;;
1096;mittelmeer;2;;
1097;hinauf;2;;
1098;ankunft;2;;
1100;abend;2;;
1101;sisteron;2;;
1102;mittelalterlichen;2;;
1103;städtchen;2;;
1104;route;2;;
1105;napoleon;2;;
1106;alpes;2;;
1107;maritimes;2;;
1108;reiseleitung;2;;
1114;ergeben;2;;
1117;weiteren;2;;
1121;grundlagen;2;;
1130;kreisen;2;;
1132;nationalen;2;;
1136;erarbeitet;2;;
1140;bezüglich;2;;
1143;einsprache;2;;
1149;möglichen;2;;
1162;gab;2;;
1166;breite;2;;
1174;beurteilenden;2;;
1178;teilstück;2;;
1182;angebracht;2;;
1183;seien;2;;
1184;kurze;2;;
1189;sektionen;2;;
1191;grund;2;;
1198;eigene;2;;
1203;angeboten;2;;
1205;kultur;2;;
1235;grenzen;2;;
1240;quadratmetern;2;;
1241;oben;2;;
1242;unten;2;;
1243;begrenzt;2;;
1244;brigitte;2;;
1245;kowanz;2;;
1247;erinnert;2;;
1249;einst;2;;
1250;beletage;2;;
1255;verschiedenen;2;;
1256;gelände;2;;
1258;unterschiedlichen;2;;
1259;natürlichen;2;;
1260;prozesse;2;;
1272;tals;2;;
1273;möglichkeit;2;;
1277;funktioniert;2;;
1299;ställen;2;;
1320;kantonalen;2;;
1323;aktivitäten;2;;
1328;geprüft;2;;
1340;plötzlich;2;;
1346;helvetica;2;;
1348;joseph;2;;
1349;sauter;2;;
1352;augenscheinlichsten;2;;
1353;zusammenhänge;2;;
1355;bereichen;2;;
1372;eingriffen;2;;
1373;beeinträchtigungen;2;;
1375;aufgrund;2;;
1387;baumhakl;2;;
1402;carmen;2;;
1410;berg;2;;
1411;fürs;2;;
1415;dritte;2;;
1419;problematisch;2;;
1422;klasse;2;;
1432;innen;2;;
1433;kraft;2;;
1438;männlich;2;;
1448;exponat;2;;
1450;original;2;;
1451;museum;2;;
1452;passt;2;;
1464;thementürme;2;;
1465;hauptelement;2;;
1472;system;2;;
1483;risten;2;;
1490;egal;2;;
1494;fax;2;;
1502;architekt;2;;
1504;antoni;2;;
1506;baut;2;;
1510;schön;2;;
1512;werdende;2;;
1513;karte;2;;
1518;weit;2;;
1529;nötig;2;;
1536;holz;2;;
1538;zeitgeist;2;;
1540;bauherrschaften;2;;
1541;stück;2;;
1542;dreck;2;;
1543;klumpen;2;;
1544;gold;2;;
1545;heiterer;2;;
1546;schluss;2;;
1548;legenden;2;;
1561;wohnen;2;;
1562;paar;2;;
1575;abgelegenen;2;;
1576;bergtal;2;;
1577;instand;2;;
1578;gesetzt;2;;
1579;zerfällt;2;;
1580;pflegt;2;;
1581;geheimnis;2;;
1583;anhöhen;2;;
1584;abstürzen;2;;
1585;akeleien;2;;
1586;schmetterlingen;2;;
1587;düften;2;;
1588;tönen;2;;
1593;formten;2;;
1597;verlassen;2;;
1603;streckennetz;2;;
1622;gotthard;2;;
1624;and;2;;
1628;themas;2;;
1629;vermittlung;2;;
1633;standes;2;;
1635;wesentliche;2;;
1638;beanspruchte;2;;
1643;hiess;2;;
1650;ganzen;2;;
1660;breiten;2;;
1681;selten;2;;
1685;röhren;2;;
1686;felswand;2;;
1687;herausragen;2;;
1696;mittleren;2;;
1704;verkehrsvereinigung;2;;
1708;hugo;2;;
1713;organisation;2;;
1725;netzwerk;2;;
1730;denkt;2;;
1732;rung;2;;
1748;beispiele;2;;
1755;zeugen;2;;
1756;unserer;2;;
1759;forderung;2;;
1773;betrachtet;2;;
1791;bln;2;;
1799;wären;2;;
1800;dörfer;2;;
1810;erhalt;2;;
1814;änderungen;2;;
1819;notwendig;2;;
1820;langfristig;2;;
1824;bleiben;2;;
1829;zukunft;2;;
1835;touristisches;2;;
1847;touristiker;2;;
1848;sagte;2;;
1850;gelte;2;;
1870;seiten;2;;
1873;lieh;2;;
1876;spätere;2;;
1880;richter;2;;
1884;wiederum;2;;
1886;damals;2;;
1887;vorbildlich;2;;
1889;überaus;2;;
1895;bereich;2;;
1899;betrieb;2;;
1903;inszeniert;2;;
1920;zinsli;2;;
1935;personen;2;;
1974;themen;2;;
1992;maler;2;;
1998;gsk;2;;
1999;eingesetzt;2;;
2001;schweizerischen;2;;
2003;gefördert;2;;
2006;fls;2;;
2020;landschaftsschutzes;2;;
2029;sl;2;;
2037;brusio;2;;
2038;stationsgebäude;2;;
2040;stellwerke;2;;
2043;allein;2;;
2044;vielmehr;2;;
2045;berninastrecke;2;;
2047;topographie;2;;
2048;einzigartigen;2;;
2049;gleichzeitig;2;;
2052;ensembles;2;;
2053;logische;2;;
2054;bahnreisenden;2;;
2056;tirano;2;;
2057;eins;2;;
2058;gesichtspunkten;2;;
2059;müstair;2;;
2060;berner;2;;
2065;stätten;2;;
2069;überblick;2;;
2074;angenommen;2;;
2075;kulturstätten;2;;
2076;universellem;2;;
2078;experten;2;;
2079;hervorragendes;2;;
2084;guten;2;;
2085;zusammenarbeit;2;;
2087;italienischen;2;;
2091;giovanni;2;;
2103;einfluss;2;;
2104;geplante;2;;
2105;exkursion;2;;
2116;beide;2;;
2133;stunden;2;;
2135;rhone;2;;
2138;aare;2;;
2139;abraham;2;;
2140;abschätzung;2;;
2141;stickstoffverluste;2;;
2142;diffusen;2;;
2144;rheineinzugsgebiet;2;;
2146;abschluss;2;;
2147;zürcher;2;;
2148;weinland;2;;
2150;umweltschutz;2;;
2151;abwasserfonds;2;;
2152;solothurn;2;;
2157;streckenführung;2;;
2166;wunder;2;;
2178;männer;2;;
2185;gr;2;;
2186;welterbeliste;2;;
2198;ausmachen;2;;
2204;wirkung;2;;
2205;zurzeit;2;;
2216;zuständig;2;;
2217;eindrückliche;2;;
2229;gewinn;2;;
2235;hoteliers;2;;
2245;f;2;;
2248;tagen;2;;
2253;erneut;2;;
2255;gemacht;2;;
2256;gletscher;2;;
2274;formuliert;2;;
2277;rubi;2;;
2278;fred;2;;
2280;verkehrsvereins;2;;
2281;gygax;2;;
2282;kurt;2;;
2293;wirtschaftlichen;2;;
2299;unternehmen;2;;
2325;alpenrhein;2;;
2350;ingenieur;2;;
2370;lieben;2;;
2373;dennoch;2;;
2386;besichtigen;2;;
2397;teilnehmer;2;;
2404;reisen;2;;
2418;jährlich;2;;
