;word;count;category;subcategory
357;viadukt;2;;
362;albulastrecke;2;;
363;eisenbahningenieur;2;;
364;friedrich;2;;
365;hennings;2;;
366;ansicht;2;;
368;pionierhaft;2;;
371;abhandeln;2;;
373;galerien;2;;
377;bewusst;2;;
389;rückweg;2;;
391;wetter;2;;
396;ca;2;;
400;grundlage;2;;
401;erfolg;2;;
409;luft;2;;
412;architektonische;2;;
413;ereignisse;2;;
420;museale;2;;
421;kulturlandschaften;2;;
424;soglio;2;;
425;guarda;2;;
426;urs;2;;
437;nutzungsgeschichte;2;;
438;mittelalter;2;;
439;neuzeit;2;;
440;ergebnis;2;;
445;h;2;;
451;bemalen;2;;
456;geschweift;2;;
458;türe;2;;
471;geflochten;2;;
476;g;2;;
496;rhàtische;2;;
510;montreux;2;;
537;musik;2;;
548;bergün;2;;
549;preda;2;;
559;kritik;2;;
563;kraftwerken;2;;
577;zeitschrift;2;;
582;meisterwerk;2;;
614;arbeitsgruppe;2;;
616;verfahren;2;;
619;hilfsmittel;2;;
621;erstellung;2;;
622;leitungskatasters;2;;
623;evaluieren;2;;
625;abklärungen;2;;
626;vorarbeiten;2;;
627;beschloss;2;;
639;zulasten;2;;
644;verabschieden;2;;
646;lis;2;;
647;geeignet;2;;
657;interessant;2;;
674;eben;2;;
678;abschließen;2;;
682;vollständig;2;;
684;adresse;2;;
686;gesamtfläche;2;;
699;bieler;2;;
704;holzbrückenbau;2;;
715;einbettung;2;;
733;unterhalt;2;;
735;baukultur;2;;
737;halbe;2;;
738;zugstunde;2;;
743;bellinzona;2;;
744;wechseln;2;;
747;viamala;2;;
758;wilde;2;;
761;überqueren;2;;
779;rainer;2;;
780;richard;2;;
784;einklang;2;;
789;abderhalden;2;;
790;walter;2;;
796;hrsg;2;;
804;warten;2;;
813;lust;2;;
814;entdecken;2;;
834;verkaufen;2;;
836;via;2;;
838;suisse;2;;
839;denkmäler;2;;
853;marketing;2;;
857;vertreter;2;;
860;cazis;2;;
867;geschäftsführer;2;;
871;josef;2;;
877;monica;2;;
878;oeconformica;2;;
879;beverinstrasse;2;;
881;mario;2;;
882;lippuner;2;;
883;ruvria;2;;
888;rohanstrasse;2;;
901;welten;2;;
902;sutter;2;;
905;daneben;2;;
912;veröffentlichen;2;;
919;flora;2;;
928;gross;2;;
937;km;2;;
948;erlebnis;2;;
958;verbesserung;2;;
959;thomas;2;;
970;ökologisch;2;;
973;inn;2;;
979;fluss;2;;
990;landguart;2;;
993;finanzierung;2;;
994;celerina;2;;
997;bund;2;;
1001;ragen;2;;
1011;eingehend;2;;
1017;ergänzen;2;;
1018;wirklich;2;;
1020;cuneo;2;;
1021;hotelbezug;2;;
1023;abendessen;2;;
1025;samstag;2;;
1026;april;2;;
1027;legendär;2;;
1028;bahnstrecken;2;;
1029;europa;2;;
1031;malerische;2;;
1032;spektakuläre;2;;
1034;viadukte;2;;
1035;unzählige;2;;
1037;timiglia;2;;
1038;mittelmeerküste;2;;
1040;azurblauen;2;;
1041;küste;2;;
1042;ausblicken;2;;
1044;museen;2;;
1046;musee;2;;
1047;message;2;;
1048;biblique;2;;
1049;mittagszeit;2;;
1050;abfahren;2;;
1051;chemin;2;;
1053;provence;2;;
1055;grossartige;2;;
1056;mittelmeer;2;;
1057;hinauf;2;;
1058;ankunft;2;;
1060;abend;2;;
1061;sisteron;2;;
1062;mittelalterlich;2;;
1063;städtchen;2;;
1064;route;2;;
1065;napoleon;2;;
1066;alpes;2;;
1067;maritim;2;;
1068;reiseleitung;2;;
1069;beschreiben;2;;
1079;grundlagen;2;;
1093;erarbeiten;2;;
1094;erheben;2;;
1097;bezüglich;2;;
1100;einsprache;2;;
1116;tief;2;;
1131;beurteilend;2;;
1133;bezeichnen;2;;
1134;teilstück;2;;
1137;anbringen;2;;
1138;kurze;2;;
1143;sektionen;2;;
1144;grund;2;;
1147;verzichten;2;;
1151;eigene;2;;
1158;kultur;2;;
1169;freuen;2;;
1187;grenzen;2;;
1191;quadratmetern;2;;
1192;oben;2;;
1193;unten;2;;
1195;brigitte;2;;
1196;kowanz;2;;
1198;erinnern;2;;
1201;beletage;2;;
1205;gelände;2;;
1206;reagieren;2;;
1209;prozesse;2;;
1221;tals;2;;
1222;möglichkeit;2;;
1226;funktionieren;2;;
1232;begreifen;2;;
1248;ställen;2;;
1260;grundsätzlich;2;;
1268;kantonalen;2;;
1270;aktivitäten;2;;
1286;plötzlich;2;;
1289;genannt;2;;
1292;helvetica;2;;
1294;joseph;2;;
1295;sauter;2;;
1298;augenscheinlichsten;2;;
1299;zusammenhänge;2;;
1301;bereichen;2;;
1318;eingriffen;2;;
1319;beeinträchtigungen;2;;
1320;aufgrund;2;;
1331;baumhakl;2;;
1344;carmen;2;;
1352;berg;2;;
1353;fürs;2;;
1357;dritt;2;;
1361;problematisch;2;;
1364;klasse;2;;
1373;innen;2;;
1374;kraft;2;;
1387;exponat;2;;
1389;original;2;;
1390;museum;2;;
1391;passt;2;;
1402;thementürme;2;;
1403;hauptelement;2;;
1407;rot;2;;
1410;system;2;;
1419;risten;2;;
1426;egal;2;;
1429;fax;2;;
1437;architekt;2;;
1439;antoni;2;;
1445;werdende;2;;
1446;karte;2;;
1459;voll;2;;
1460;nötigen;2;;
1466;holz;2;;
1468;zeitgeist;2;;
1470;bauherrschaften;2;;
1471;stück;2;;
1472;dreck;2;;
1473;klumpen;2;;
1474;gold;2;;
1475;heiter;2;;
1476;schluss;2;;
1478;legend;2;;
1491;paar;2;;
1504;abgelegen;2;;
1505;bergtal;2;;
1506;instand;2;;
1507;zerfallen;2;;
1508;pflegen;2;;
1509;geheimnis;2;;
1510;anhöhen;2;;
1511;abstürzen;2;;
1512;akeleien;2;;
1513;schmetterlingen;2;;
1514;düften;2;;
1515;tönen;2;;
1520;drängen;2;;
1528;streckennetz;2;;
1545;gotthard;2;;
1547;and;2;;
1551;themas;2;;
1552;vermittlung;2;;
1556;standes;2;;
1560;beanspruchen;2;;
1565;hiess;2;;
1566;beauftragen;2;;
1574;entsprechend;2;;
1584;aufweisen;2;;
1604;röhren;2;;
1605;felswand;2;;
1606;herausragen;2;;
1623;verkehrsvereinigung;2;;
1627;hugo;2;;
1632;organisation;2;;
1643;netzwerk;2;;
1650;rung;2;;
1664;beispiele;2;;
1668;zeugen;2;;
1669;mein;2;;
1671;forderung;2;;
1702;bln;2;;
1708;beeinträchtigen;2;;
1709;dörfer;2;;
1718;erhalt;2;;
1722;änderungen;2;;
1733;zukunft;2;;
1735;laut;2;;
1738;touristisches;2;;
1741;stimmen;2;;
1749;touristiker;2;;
1755;grün;2;;
1766;seiten;2;;
1770;lösen;2;;
1774;richter;2;;
1778;wiederum;2;;
1780;damals;2;;
1781;vorbildlich;2;;
1783;überaus;2;;
1789;bereich;2;;
1793;betrieb;2;;
1812;zinsli;2;;
1824;personen;2;;
1836;erkennen;2;;
1858;themen;2;;
1873;kaufen;2;;
1874;maler;2;;
1879;gsk;2;;
1880;einsetzen;2;;
